City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
176,Nabire,ID,2020-02-23 09:52:51,-3.37,135.48,76.55,97,100,1.14,moderate rain,4.94,0.63
177,Carnarvon,AU,2020-02-23 09:52:51,-24.87,113.63,82.4,54,0,14.99,clear sky,4.94,0.63
178,Kalnciems,LV,2020-02-23 09:52:51,56.8,23.61,42.8,79,90,12.75,overcast clouds,4.94,0.63
179,Alofi,NU,2020-02-23 09:52:52,-19.06,-169.92,80.17,87,100,12.84,light rain,1.13,0.63
180,Morlaix,FR,2020-02-23 09:52:52,48.58,-4.0,53.6,100,90,25.28,light rain,1.13,0.63
181,Laguna,US,2020-02-23 09:50:05,38.42,-121.42,52.0,87,1,9.17,clear sky,1.13,0.19
182,Egvekinot,RU,2020-02-23 09:52:53,66.32,-179.17,-33.54,99,0,1.66,clear sky,1.13,0.19
183,Dumai,ID,2020-02-23 09:52:53,1.68,101.45,89.78,52,51,5.41,broken clouds,1.13,0.19
184,Attawapiskat,ID,2020-02-23 09:52:53,1.68,101.45,89.78,52,51,5.41,broken clouds,1.13,0.19
185,Dubrovnik,HR,2020-02-23 09:52:53,42.65,18.09,55.4,37,67,3.36,broken clouds,1.13,0.19
186,Udachnyy,RU,2020-02-23 09:52:53,66.42,112.4,1.4,84,54,6.71,broken clouds,1.13,0.19
187,Sur,OM,2020-02-23 09:52:53,22.57,59.53,78.71,50,0,8.08,clear sky,1.13,0.19
188,Avarua,CK,2020-02-23 09:52:54,-21.21,-159.78,82.4,88,100,4.7,light rain,1.94,0.19
189,Ugoofaaru,MV,2020-02-23 09:52:54,5.67,73.0,83.25,79,100,21.41,overcast clouds,1.94,0.19
190,Manali,IN,2020-02-23 09:52:54,13.17,80.27,86.0,62,40,9.17,scattered clouds,1.94,0.19
191,Belushya Guba,IN,2020-02-23 09:52:54,13.17,80.27,86.0,62,40,9.17,scattered clouds,1.94,0.19
192,Kisangani,CD,2020-02-23 09:52:54,0.52,25.2,90.63,44,41,4.45,scattered clouds,1.94,0.19
193,Broken Hill,AU,2020-02-23 09:52:55,-31.95,141.43,84.2,37,75,19.46,broken clouds,1.94,0.19
194,Margate,GB,2020-02-23 09:52:55,51.38,1.39,55.99,82,75,32.21,light rain,1.94,0.19
195,Saint-Joseph,RE,2020-02-23 09:52:55,-21.37,55.62,86.0,62,46,9.17,scattered clouds,1.94,0.19
